Method,ATSD,MySQL,PostgreSQL,Oracle,DB2,MSSQL
nullPlusNonNullIsNull,true,true,true,true,true,true
nullsAreSortedAtEnd,false,false,false,false,false,false
nullsAreSortedAtStart,false,false,false,false,false,false
nullsAreSortedHigh,false,false,true,false,true,false
nullsAreSortedLow,true,true,false,true,false,true
storesLowerCaseIdentifiers,true,false,true,false,false,false
storesLowerCaseQuotedIdentifiers,true,false,false,false,false,false
storesMixedCaseIdentifiers,false,true,false,false,false,true
storesMixedCaseQuotedIdentifiers,false,true,false,true,false,true
storesUpperCaseIdentifiers,false,false,false,true,true,false
storesUpperCaseQuotedIdentifiers,false,true,false,false,false,false
supportsANSI92EntryLevelSQL,true,true,true,true,true,true
supportsANSI92FullSQL,false,false,false,false,false,false
supportsANSI92IntermediateSQL,false,false,false,false,false,false
supportsAlterTableWithAddColumn,false,true,true,true,true,true
supportsAlterTableWithDropColumn,false,true,true,false,false,true
supportsBatchUpdates,true,true,true,true,true,true
supportsCatalogsInDataManipulation,false,true,false,false,false,true
supportsCatalogsInIndexDefinitions,false,true,false,false,false,true
supportsCatalogsInPrivilegeDefinitions,false,true,false,false,false,true
supportsCatalogsInProcedureCalls,false,true,false,false,false,true
supportsCatalogsInTableDefinitions,false,true,false,false,false,true
supportsColumnAliasing,true,true,true,true,true,true
supportsConvert,false,false,false,false,false,true
supportsCoreSQLGrammar,false,true,false,true,true,true
supportsCorrelatedSubqueries,false,true,true,true,true,true
supportsDataDefinitionAndDataManipulationTransactions,false,false,true,true,true,true
supportsDataManipulationTransactionsOnly,true,false,false,true,false,false
supportsDifferentTableCorrelationNames,false,true,false,true,false,false
supportsExpressionsInOrderBy,true,true,true,true,true,true
supportsExtendedSQLGrammar,false,false,false,true,true,false
supportsFullOuterJoins,true,false,true,true,true,true
supportsGetGeneratedKeys,false,true,true,true,true,true
supportsGroupBy,true,true,true,true,true,true
supportsGroupByBeyondSelect,true,true,true,true,true,true
supportsGroupByUnrelated,true,true,true,true,true,true
supportsIntegrityEnhancementFacility,false,false,true,true,true,false
supportsLikeEscapeClause,true,true,true,true,true,true
supportsLimitedOuterJoins,true,true,true,true,true,true
supportsMinimumSQLGrammar,true,true,true,true,true,true
supportsMixedCaseIdentifiers,false,true,false,false,false,true
supportsMixedCaseQuotedIdentifiers,true,true,true,true,true,true
supportsMultipleOpenResults,false,true,false,false,true,false
supportsMultipleResultSets,false,true,true,false,true,true
supportsMultipleTransactions,false,true,true,true,true,true
supportsNamedParameters,false,false,false,true,true,true
supportsNonNullableColumns,true,true,true,true,true,true
supportsOpenCursorsAcrossCommit,false,false,false,false,true,false
supportsOpenCursorsAcrossRollback,false,false,false,false,false,false
supportsOpenStatementsAcrossCommit,false,false,true,false,true,true
supportsOpenStatementsAcrossRollback,false,false,true,false,true,true
supportsOrderByUnrelated,true,false,true,true,true,true
supportsOuterJoins,true,true,true,true,true,true
supportsPositionedDelete,false,false,false,false,true,true
supportsPositionedUpdate,false,false,false,false,true,true
supportsSavepoints,false,true,true,true,true,true
supportsSchemasInDataManipulation,false,false,true,true,true,true
supportsSchemasInIndexDefinitions,false,false,true,true,true,true
supportsSchemasInPrivilegeDefinitions,false,false,true,true,true,true
supportsSchemasInProcedureCalls,false,false,true,true,true,true
supportsSchemasInTableDefinitions,false,false,true,true,true,true
supportsSelectForUpdate,false,true,true,true,true,false
supportsStatementPooling,false,false,false,true,false,false
supportsStoredFunctionsUsingCallSyntax,false,true,true,true,false,true
supportsStoredProcedures,false,true,true,true,true,true
supportsSubqueriesInComparisons,true,true,true,true,true,true
supportsSubqueriesInExists,false,true,true,true,true,true
supportsSubqueriesInIns,true,true,true,true,true,true
supportsSubqueriesInQuantifieds,false,true,true,true,true,true
supportsTableCorrelationNames,false,true,true,true,true,true
supportsTransactions,false,true,true,true,true,true
supportsUnion,false,true,true,true,true,true
supportsUnionAll,false,true,true,true,true,true
usesLocalFilePerTable,false,false,false,false,false,false
usesLocalFiles,false,false,false,false,false,false
